RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
1,3,28,1,4,16,5,0,25,72.7,1,4,12,16,84.2,86.1,58,C,1
1,2,28,1,1,16,5,0,20,43,1,1,12,13,62.1,77.4,38,C,1
1,2,53,2,3,16,1,3,25,56.8,0,0,11,11,17.1,32,44,DK,1
1,3,67,1,3,16,1,3,26,62,3,3,16,16,46.5,62,45,T,1
1,3,37,1,4,20,1,0,23,59.8,3,4,16,16,91.6,91.6,45,C,1
2,2,27,1,1,12,5,0,20,32,1,1,10,12,31.6,46.6,35,C,1
2,3,45,2,1,15,5,3,16,38.8,1,1,14,12,76.3,59.1,47,C,1
1,2,63,1,1,12,3,3,11,76.3,1,1,12,16,38.8,52,60,T,1
1,2,45,2,1,12,1,2,21,20.7,1,0,12,11,21.8,20,24,C,1
2,2,50,2,1,14,1,7,22,24.2,3,2,16,14,45,38.1,48,C,1
2,3,51,1,3,16,5,3,14,59.1,4,3,16,16,82.5,36.4,53,C,1
2,2,53,2,4,19,1,8,26,71.7,2,0,14,7,62.9,26.8,58,C,1
1,3,64,2,3,16,5,0,26,64.2,1,1,12,12,24.6,57.8,53,C,1
1,2,80,2,1,12,2,7,16,32.6,1,1,15,13,38.3,73.9,37,T,2
2,2,39,2,1,12,3,4,23,39.7,2,3,14,16,76.3,52,31,C,1
2,2,31,2,4,20,5,0,17,91.1,1,1,12,14,46.6,69.3,69,DK,1
1,3,77,1,3,16,4,7,19,60.5,1,3,12,16,38.8,57.4,61,T,2
2,2,39,2,1,15,5,5,17,52,3,1,16,12,38.8,21.5,46,C,1
2,2,27,2,1,15,5,0,17,63.7,1,1,14,14,35.8,52.5,33,C,1
1,3,53,1,3,16,1,2,22,84.5,1,4,12,18,33.4,75.5,74,DK,3
2,2,40,1,1,14,3,0,20,26.8,1,1,12,12,26.8,52.4,35,C,1
1,3,57,1,2,15,1,3,26,52.4,3,3,16,16,43,39.1,43,T,2
1,2,40,2,1,14,1,4,26,17.5,1,0,12,11,31.6,68.6,22,T,2
